title,recommended_genres
"Grass Harp, The (1995)",['Drama']
Someone Else's America (1995),[]
Marlene Dietrich: Shadow and Light (1996),[]
Costa Brava (1946),['Drama']
"Vie est belle, La (Life is Rosey) (1987)",['Drama']
Quartier Mozart (1992),[]
Touki Bouki (Journey of the Hyena) (1973),[]
Wend Kuuni (God's Gift) (1982),['Drama']
Spirits of the Dead (Tre Passi nel Delirio) (1968),[]
Babyfever (1994),[]
Pharaoh's Army (1995),[]
Trainspotting (1996),['Drama']
'Til There Was You (1997),"['Comedy', 'Drama', 'Romance']"
Independence Day (ID4) (1996),[]
Stealing Beauty (1996),['Drama']
"Fan, The (1996)",[]
"Hunchback of Notre Dame, The (1996)",['Drama']
"Cable Guy, The (1996)",['Comedy']
Kingpin (1996),['Drama']
Eraser (1996),['Drama']
"Gate of Heavenly Peace, The (1995)",[]
"Nutty Professor, The (1996)",['Comedy']
"I, Worst of All (Yo, la peor de todas) (1990)",['Drama']
An Unforgettable Summer (1994),['Drama']
"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)",['Drama']
"Hungarian Fairy Tale, A (1987)",[]
My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),['Drama']
Midnight Dancers (Sibak) (1994),['Drama']
Somebody to Love (1994),"['Comedy', 'Drama']"
"Very Natural Thing, A (1974)",[]
"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",['Comedy']
Daylight (1996),['Drama']
"Frighteners, The (1996)",[]
Lone Star (1996),[]
Harriet the Spy (1996),['Comedy']
Phenomenon (1996),['Drama']
Walking and Talking (1996),['Drama']
She's the One (1996),['Comedy']
"Time to Kill, A (1996)",['Drama']
American Buffalo (1996),['Drama']
"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)","['Comedy', 'Drama']"
Alaska (1996),['Drama']
Fled (1996),['Drama']
Kazaam (1996),['Drama']
"Bewegte Mann, Der (1994)",['Comedy']
Magic Hunter (1994),['Drama']
Larger Than Life (1996),['Comedy']
"Boy Called Hate, A (1995)",['Drama']
Power 98 (1995),['Action']
Two Deaths (1995),['Drama']
"Very Brady Sequel, A (1996)",['Comedy']
Stefano Quantestorie (1993),['Drama']
"Death in the Garden (Mort en ce jardin, La) (1956)",['Drama']
"Crude Oasis, The (1995)",['Drama']
Hedd Wyn (1992),[]
"Collectionneuse, La (1967)",['Drama']
Kaspar Hauser (1993),['Drama']
Echte Kerle (1996),['Drama']
Diebinnen (1995),['Drama']
"Convent, The (Convento, O) (1995)",['Drama']
"Adventures of Pinocchio, The (1996)","[""Children's""]"
Joe's Apartment (1996),['Drama']
"First Wives Club, The (1996)",[]
Stonewall (1995),['Drama']
Ransom (1996),['Drama']
High School High (1996),['Comedy']
Phat Beach (1996),['Comedy']
Foxfire (1996),['Drama']
Chain Reaction (1996),['Drama']
Matilda (1996),['Drama']
Emma (1996),['Drama']
"Crow: City of Angels, The (1996)",[]
House Arrest (1996),['Comedy']
Eyes Without a Face (1959),[]
Tales from the Crypt Presents: Bordello of Blood (1996),['Horror']
Lotto Land (1995),['Drama']
"Story of Xinghua, The (1993)",['Drama']
"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",['Drama']
Flirt (1995),['Drama']
"Big Squeeze, The (1996)",['Comedy']
"Spitfire Grill, The (1996)",[]
Escape from L.A. (1996),"['Action', 'Sci-Fi']"
Cyclo (1995),['Drama']
Basquiat (1996),['Drama']
Tin Cup (1996),"['Comedy', 'Drama']"
Dingo (1992),[]
"Ballad of Narayama, The (Narayama Bushiko) (1958)",['Drama']
Every Other Weekend (1990),['Drama']
Mille bolle blu (1993),['Drama']
Crows and Sparrows (1949),['Drama']
"Godfather, The (1972)",['Drama']
"Hippie Revolution, The (1996)",[]
"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",['Comedy']
Supercop (1992),[]
Manny & Lo (1996),['Drama']
Celestial Clockwork (1994),[]
"Wife, The (1995)",[]
Small Faces (1995),['Drama']
Bound (1996),['Drama']
Carpool (1996),['Drama']
Death in Brunswick (1991),[]
Kansas City (1996),['Drama']
Gone Fishin' (1997),[]
Lover's Knot (1996),['Comedy']
Aiqing wansui (1994),[]
Shadow of Angels (Schatten der Engel) (1976),['Drama']
Killer: A Journal of Murder (1995),[]
Nothing to Lose (1994),['Drama']
Police Story 4: Project S (Chao ji ji hua) (1993),[]
Girls Town (1996),['Drama']
Bye-Bye (1995),[]
"Relic, The (1997)",[]
"Island of Dr. Moreau, The (1996)",[]
First Kid (1996),[]
"Trigger Effect, The (1996)",['Drama']
Sweet Nothing (1995),['Drama']
Bogus (1996),['Drama']
Bulletproof (1996),['Drama']
Talk of Angels (1998),['Drama']
Land Before Time III: The Time of the Great Giving (1995),[]
1-900 (1994),[]
Baton Rouge (1988),[]
Halloween: The Curse of Michael Myers (1995),['Horror']
Twelfth Night (1996),[]
Mother Night (1996),['Drama']
Liebelei (1933),[]
Venice/Venice (1992),['Drama']
Wild Reeds (1994),[]
For Whom the Bell Tolls (1943),[]
"Philadelphia Story, The (1940)",[]
Singin' in the Rain (1952),['Drama']
"American in Paris, An (1951)",[]
Funny Face (1957),['Comedy']
Breakfast at Tiffany's (1961),['Drama']
Vertigo (1958),[]
Rear Window (1954),[]
It Happened One Night (1934),['Comedy']
Gaslight (1944),[]
"Gay Divorcee, The (1934)",['Comedy']
North by Northwest (1959),['Drama']
"Apartment, The (1960)",['Drama']
Some Like It Hot (1959),"['Comedy', 'Drama']"
Charade (1963),[]
Casablanca (1942),[]
"Maltese Falcon, The (1941)",['Drama']
My Fair Lady (1964),['Comedy']
Sabrina (1954),[]
Roman Holiday (1953),[]
"Little Princess, The (1939)",[]
Meet Me in St. Louis (1944),[]
"Wizard of Oz, The (1939)",['Drama']
Gone with the Wind (1939),[]
My Favorite Year (1982),[]
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),[]
Citizen Kane (1941),['Drama']
2001: A Space Odyssey (1968),[]
Golden Earrings (1947),[]
All About Eve (1950),['Drama']
"Women, The (1939)",['Drama']
Rebecca (1940),[]
Foreign Correspondent (1940),[]
Notorious (1946),['Drama']
Spellbound (1945),[]
"Affair to Remember, An (1957)",['Drama']
To Catch a Thief (1955),['Drama']
Father of the Bride (1950),[]
"Band Wagon, The (1953)",[]
Ninotchka (1939),[]
Love in the Afternoon (1957),['Comedy']
Gigi (1958),[]
"Reluctant Debutante, The (1958)",[]
"Adventures of Robin Hood, The (1938)",[]
"Mark of Zorro, The (1940)",[]
Laura (1944),[]
"Ghost and Mrs. Muir, The (1947)",[]
Lost Horizon (1937),[]
Top Hat (1935),['Comedy']
To Be or Not to Be (1942),['Comedy']
My Man Godfrey (1936),[]
Giant (1956),[]
East of Eden (1955),['Drama']
"Thin Man, The (1934)",[]
His Girl Friday (1940),['Comedy']
Around the World in 80 Days (1956),[]
It's a Wonderful Life (1946),['Drama']
Mr. Smith Goes to Washington (1939),['Drama']
Bringing Up Baby (1938),[]
Penny Serenade (1941),['Drama']
"Scarlet Letter, The (1926)",['Drama']
Lady of Burlesque (1943),['Comedy']
Of Human Bondage (1934),[]
Angel on My Shoulder (1946),['Drama']
Little Lord Fauntleroy (1936),[]
They Made Me a Criminal (1939),['Drama']
"Inspector General, The (1949)",[]
Angel and the Badman (1947),['Drama']
"39 Steps, The (1935)",[]
"Walk in the Sun, A (1945)",['Drama']
"Outlaw, The (1943)",[]
Night of the Living Dead (1968),['Horror']
"African Queen, The (1951)",['Drama']
Beat the Devil (1954),[]
Cat on a Hot Tin Roof (1958),['Comedy']
"Last Time I Saw Paris, The (1954)",['Drama']
Meet John Doe (1941),['Comedy']
Algiers (1938),['Drama']
Something to Sing About (1937),['Comedy']
"Farewell to Arms, A (1932)",['Romance']
Moonlight Murder (1936),[]
"Blue Angel, The (Blaue Engel, Der) (1930)",['Drama']
Nothing Personal (1995),['Drama']
In the Line of Duty 2 (1987),[]
Dangerous Ground (1997),['Drama']
Picnic (1955),['Drama']
Madagascar Skin (1995),['Drama']
"Pompatus of Love, The (1996)",['Drama']
Small Wonders (1996),[]
Fly Away Home (1996),[]
Bliss (1997),[]
Grace of My Heart (1996),['Drama']
Schlafes Bruder (Brother of Sleep) (1995),['Drama']
Maximum Risk (1996),[]
Michael Collins (1996),[]
"Rich Man's Wife, The (1996)",['Comedy']
Infinity (1996),['Drama']
Big Night (1996),['Comedy']
Last Man Standing (1996),['Drama']
Caught (1996),['Drama']
Set It Off (1996),['Comedy']
2 Days in the Valley (1996),['Comedy']
Curdled (1996),['Drama']
"Associate, The (L'Associe)(1982)",['Comedy']
Ed's Next Move (1996),['Comedy']
Extreme Measures (1996),['Drama']
"Glimmer Man, The (1996)",[]
D3: The Mighty Ducks (1996),"[""Children's"", 'Comedy']"
"Chamber, The (1996)",[]
"Apple Dumpling Gang, The (1975)",['Comedy']
"Davy Crockett, King of the Wild Frontier (1955)",[]
Escape to Witch Mountain (1975),[]
"Love Bug, The (1969)",[]
Herbie Rides Again (1974),"[""Children's"", 'Comedy']"
Old Yeller (1957),['Comedy']
"Parent Trap, The (1961)",['Drama']
Pollyanna (1960),['Drama']
Homeward Bound: The Incredible Journey (1993),[]
"Shaggy Dog, The (1959)",['Comedy']
Swiss Family Robinson (1960),['Comedy']
That Darn Cat! (1965),['Comedy']
"20,000 Leagues Under the Sea (1954)",[]
Cool Runnings (1993),['Drama']
Angels in the Outfield (1994),['Drama']
Cinderella (1950),[]
Winnie the Pooh and the Blustery Day (1968),[]
"Three Caballeros, The (1945)",[]
"Sword in the Stone, The (1963)",[]
So Dear to My Heart (1949),['Drama']
Robin Hood: Prince of Thieves (1991),[]
Mary Poppins (1964),[]
Dumbo (1941),[]
Pete's Dragon (1977),[]
Bedknobs and Broomsticks (1971),[]
Alice in Wonderland (1951),[]
"Fox and the Hound, The (1981)",[]
Freeway (1996),['Drama']
"Sound of Music, The (1965)",[]
Die Hard (1988),['Action']
"Lawnmower Man, The (1992)",[]
Unhook the Stars (1996),['Drama']
Synthetic Pleasures (1995),['Drama']
"Secret Agent, The (1996)",[]
Secrets & Lies (1996),['Drama']
That Thing You Do! (1996),['Comedy']
To Gillian on Her 37th Birthday (1996),['Drama']
Surviving Picasso (1996),['Drama']
Love Is All There Is (1996),"['Comedy', 'Drama']"
Beautiful Thing (1996),['Drama']
"Long Kiss Goodnight, The (1996)",[]
"Ghost and the Darkness, The (1996)",[]
Looking for Richard (1996),[]
Trees Lounge (1996),['Drama']
"Proprietor, The (1996)",[]
Normal Life (1996),['Drama']
Get on the Bus (1996),['Drama']
Shadow Conspiracy (1997),[]
Jude (1996),['Drama']
Everyone Says I Love You (1996),"['Comedy', 'Romance']"
Bitter Sugar (Azucar Amargo) (1996),['Drama']
William Shakespeare's Romeo and Juliet (1996),"['Drama', 'Romance']"
Swingers (1996),['Drama']
Sleepers (1996),['Drama']
"Sunchaser, The (1996)",[]
Johns (1996),['Drama']
Aladdin and the King of Thieves (1996),['Drama']
"Woman in Question, The (1950)",[]
Shall We Dance? (1937),['Comedy']
"Damsel in Distress, A (1937)",[]
Crossfire (1947),[]
"Murder, My Sweet (1944)",['Drama']
Macao (1952),[]
For the Moment (1994),[]
Willy Wonka and the Chocolate Factory (1971),['Drama']
"Sexual Life of the Belgians, The (1994)",['Drama']
"Innocents, The (1961)",['Drama']
Sleeper (1973),[]
Bananas (1971),[]
"Fish Called Wanda, A (1988)",['Drama']
Monty Python's Life of Brian (1979),['Comedy']
Victor/Victoria (1982),[]
"Candidate, The (1972)",[]
"Great Race, The (1965)",[]
Bonnie and Clyde (1967),[]
"Old Man and the Sea, The (1958)",[]
Dial M for Murder (1954),[]
Madame Butterfly (1995),['Drama']
Dirty Dancing (1987),['Comedy']
Reservoir Dogs (1992),[]
Platoon (1986),[]
Weekend at Bernie's (1989),['Drama']
Basic Instinct (1992),[]
"Doors, The (1991)",['Drama']
"Crying Game, The (1992)",[]
Glengarry Glen Ross (1992),[]
Sophie's Choice (1982),[]
E.T. the Extra-Terrestrial (1982),[]
"Search for One-eye Jimmy, The (1996)",[]
"Christmas Carol, A (1938)",['Drama']
Days of Thunder (1990),[]
Top Gun (1986),['Comedy']
American Strays (1996),['Drama']
Rebel Without a Cause (1955),['Drama']
"Streetcar Named Desire, A (1951)",[]
Children of the Corn IV: The Gathering (1996),['Horror']
"Leopard Son, The (1996)",[]
Loser (1991),[]
Prerokbe Ognja (1995),['Drama']
Charm's Incidents (1996),['Drama']
Bird of Prey (1996),[]
Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),['Drama']
Palookaville (1996),['Drama']
"Associate, The (1996)",['Comedy']
"Funeral, The (1996)",[]
Sleepover (1995),['Drama']
"Single Girl, A (La Fille Seule) (1995)",['Drama']
"Eighth Day, The (Le Huitième jour ) (1996)",['Drama']
Tashunga (1995),['Drama']
Drunks (1997),[]
"People vs. Larry Flynt, The (1996)",['Drama']
Glory Daze (1996),['Drama']
Plutonium Circus (1995),[]
"Perfect Candidate, A (1996)",[]
On Golden Pond (1981),['Drama']
"Return of the Pink Panther, The (1974)",[]
Drop Dead Fred (1991),['Comedy']
"Abyss, The (1989)",[]
"Fog, The (1980)",[]
Escape from New York (1981),['Action']
"Howling, The (1980)",[]
Jean de Florette (1986),['Drama']
Manon of the Spring (Manon des sources) (1986),['Drama']
Talking About Sex (1994),"['Comedy', 'Drama']"
Johnny 100 Pesos (1993),['Drama']
Private Benjamin (1980),[]
Monty Python and the Holy Grail (1974),['Comedy']
Hustler White (1996),['Drama']
Dadetown (1995),['Drama']
Everything Relative (1996),[]
Entertaining Angels: The Dorothy Day Story (1996),['Drama']
Hoogste tijd (1995),['Drama']
Get Over It (1996),['Drama']
Three Lives and Only One Death (1996),['Comedy']
"Line King: Al Hirschfeld, The (1996)",['Drama']
Snowriders (1996),['Drama']
Curtis's Charm (1995),['Drama']
When We Were Kings (1996),['Drama']
"Wrong Trousers, The (1993)",[]
JLG/JLG - autoportrait de décembre (1994),['Drama']
"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",['Drama']
Faust (1994),[]
He Walked by Night (1948),['Drama']
Raw Deal (1948),[]
T-Men (1947),[]
"Invitation, The (Zaproszenie) (1986)",[]
"Children Are Watching us, The (Bambini ci guardano, I) (1942)",['Drama']
"Symphonie pastorale, La (1946)",['Drama']
Here Comes Cookie (1935),[]
Love in Bloom (1935),['Comedy']
Six of a Kind (1934),['Comedy']
"Tin Drum, The (Blechtrommel, Die) (1979)",['Drama']
"Ruling Class, The (1972)",['Comedy']
Mina Tannenbaum (1994),[]
Two or Three Things I Know About Her (1966),['Drama']
"Bloody Child, The (1996)",[]
Farmer & Chase (1995),[]
Dear God (1996),['Drama']
Bad Moon (1996),[]
American Dream (1990),['Drama']
Best of the Best 3: No Turning Back (1995),['Drama']
Bob Roberts (1992),[]
Cinema Paradiso (1988),[]
"Cook the Thief His Wife & Her Lover, The (1989)",['Drama']
Grosse Fatigue (1994),[]
Delicatessen (1991),[]
"Double Life of Veronique, The (La Double Vie de Véronique) (1991)",['Drama']
Enchanted April (1991),[]
Paths of Glory (1957),['Drama']
"Grifters, The (1990)",[]
Hear My Song (1991),['Comedy']
"Shooter, The (1995)",['Drama']
"English Patient, The (1996)",['Drama']
Mediterraneo (1991),[]
My Left Foot (1989),"['Comedy', 'Drama']"
"Sex, Lies, and Videotape (1989)",['Drama']
Passion Fish (1992),['Drama']
Strictly Ballroom (1992),[]
"Thin Blue Line, The (1988)",[]
Tie Me Up! Tie Me Down! (1990),['Drama']
Madonna: Truth or Dare (1991),[]
Paris Is Burning (1990),"['Comedy', 'Drama']"
One Flew Over the Cuckoo's Nest (1975),['Drama']
Up in Smoke (1978),['Comedy']
Star Wars: Episode V - The Empire Strikes Back (1980),"['Action', 'Adventure', 'Sci-Fi']"
"Princess Bride, The (1987)",[]
Raiders of the Lost Ark (1981),[]
Brazil (1985),[]
Aliens (1986),[]
"Good, The Bad and The Ugly, The (1966)",[]
Withnail and I (1987),['Comedy']
12 Angry Men (1957),[]
Lawrence of Arabia (1962),['Drama']
"Transformers: The Movie, The (1986)","[""Children's""]"
"Clockwork Orange, A (1971)",[]
To Kill a Mockingbird (1962),['Drama']
Apocalypse Now (1979),['Drama']
Once Upon a Time in the West (1969),['Drama']
Star Wars: Episode VI - Return of the Jedi (1983),"['Action', 'Adventure', 'Sci-Fi']"
Wings of Desire (Der Himmel über Berlin) (1987),['Drama']
"Third Man, The (1949)",['Drama']
GoodFellas (1990),[]
Alien (1979),['Sci-Fi']
Army of Darkness (1993),[]
"Big Blue, The (Le Grand Bleu) (1988)",['Drama']
Ran (1985),[]
"Killer, The (Die xue shuang xiong) (1989)",['Action']
Psycho (1960),['Horror']
"Blues Brothers, The (1980)",['Comedy']
"Godfather: Part II, The (1974)",['Action']
Full Metal Jacket (1987),['Drama']
"Grand Day Out, A (1992)",[]
Henry V (1989),['Drama']
Amadeus (1984),[]
"Quiet Man, The (1952)",[]
Once Upon a Time in America (1984),['Drama']
Raging Bull (1980),['Drama']
Annie Hall (1977),['Comedy']
"Right Stuff, The (1983)",[]
Stalker (1979),[]
"Boat, The (Das Boot) (1981)",[]
"Sting, The (1973)",[]
Harold and Maude (1971),[]
Trust (1990),[]
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",['Drama']
Local Hero (1983),['Comedy']
"Terminator, The (1984)",[]
Braindead (1992),[]
Glory (1989),['Drama']
Rosencrantz and Guildenstern Are Dead (1990),['Drama']
Manhattan (1979),['Comedy']
Miller's Crossing (1990),[]
Dead Poets Society (1989),['Drama']
"Graduate, The (1967)",[]
Touch of Evil (1958),[]
Nikita (La Femme Nikita) (1990),['Drama']
"Bridge on the River Kwai, The (1957)",['Drama']
8 1/2 (1963),[]
Chinatown (1974),[]
"Day the Earth Stood Still, The (1951)",[]
"Treasure of the Sierra Madre, The (1948)",[]
Bad Taste (1987),[]
Duck Soup (1933),[]
Better Off Dead... (1985),[]
"Shining, The (1980)",[]
Stand by Me (1986),['Drama']
M (1931),[]
Evil Dead II (Dead By Dawn) (1987),['Horror']
"Great Escape, The (1963)",[]
"Deer Hunter, The (1978)",['Drama']
Diva (1981),[]
Groundhog Day (1993),[]
Unforgiven (1992),[]
"Manchurian Candidate, The (1962)",['Drama']
Pump Up the Volume (1990),[]
Arsenic and Old Lace (1944),['Comedy']
Back to the Future (1985),['Comedy']
Fried Green Tomatoes (1991),['Drama']
Patton (1970),[]
Down by Law (1986),"['Comedy', 'Drama']"
Akira (1988),[]
Highlander (1986),['Action']
Cool Hand Luke (1967),[]
Cyrano de Bergerac (1990),['Drama']
Young Frankenstein (1974),['Horror']
Night on Earth (1991),['Drama']
Raise the Red Lantern (1991),['Drama']
"Great Dictator, The (1940)",[]
Fantasia (1940),"[""Children's""]"
High Noon (1952),[]
"Big Sleep, The (1946)",['Drama']
Heathers (1989),[]
Somewhere in Time (1980),[]
Ben-Hur (1959),[]
This Is Spinal Tap (1984),['Drama']
Koyaanisqatsi (1983),[]
Some Kind of Wonderful (1987),['Drama']
Indiana Jones and the Last Crusade (1989),[]
Being There (1979),['Comedy']
Gandhi (1982),[]
M*A*S*H (1970),[]
"Unbearable Lightness of Being, The (1988)",[]
"Room with a View, A (1986)",['Drama']
Real Genius (1985),['Comedy']
Pink Floyd - The Wall (1982),['Drama']
"Killing Fields, The (1984)",['Drama']
My Life as a Dog (Mitt liv som hund) (1985),"['Comedy', 'Drama']"
Forbidden Planet (1956),['Sci-Fi']
Field of Dreams (1989),['Drama']
"Man Who Would Be King, The (1975)",['Comedy']
Butch Cassidy and the Sundance Kid (1969),[]
"Paris, Texas (1984)",[]
Until the End of the World (Bis ans Ende der Welt) (1991),['Drama']
When Harry Met Sally... (1989),['Comedy']
I Shot a Man in Vegas (1995),['Comedy']
Parallel Sons (1995),['Drama']
Hype! (1996),[]
Santa with Muscles (1996),['Comedy']
Female Perversions (1996),['Drama']
Mad Dog Time (1996),[]
Breathing Room (1996),['Drama']
Paris Was a Woman (1995),['Drama']
Anna (1996),['Drama']
I'm Not Rappaport (1996),['Drama']
Blue Juice (1995),['Drama']
Kids of Survival (1993),[]
Alien³ (1992),[]
"American Werewolf in London, An (1981)",[]
Amityville 1992: It's About Time (1992),[]
Amityville 3-D (1983),['Horror']
Amityville: Dollhouse (1996),['Horror']
Amityville: A New Generation (1993),['Horror']
Amityville II: The Possession (1982),['Horror']
"Amityville Horror, The (1979)",['Horror']
"Amityville Curse, The (1990)",['Horror']
Blood For Dracula (Andy Warhol's Dracula) (1974),['Horror']
April Fool's Day (1986),['Comedy']
Audrey Rose (1977),[]
"Believers, The (1987)",[]
"Birds, The (1963)",[]
"Blob, The (1958)",[]
Blood Beach (1981),[]
Body Parts (1991),[]
"Body Snatcher, The (1945)",[]
Bram Stoker's Dracula (1992),['Horror']
Bride of Frankenstein (1935),['Horror']
Burnt Offerings (1976),[]
Candyman (1992),['Horror']
Cape Fear (1991),[]
Cape Fear (1962),[]
Carrie (1976),[]
Cat People (1982),[]
"Nightmare on Elm Street, A (1984)",['Horror']
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",['Horror']
Nosferatu a Venezia (1986),['Horror']
"Omen, The (1976)",['Horror']
Blood & Wine (1997),[]
Albino Alligator (1996),['Drama']
"Mirror Has Two Faces, The (1996)",['Drama']
Breaking the Waves (1996),[]
Nightwatch (1997),[]
Star Trek: First Contact (1996),"['Action', 'Adventure', 'Sci-Fi']"
Shine (1996),['Drama']
Sling Blade (1996),['Drama']
Jingle All the Way (1996),['Drama']
Identification of a Woman (Identificazione di una donna) (1982),['Drama']
Paradise Lost: The Child Murders at Robin Hood Hills (1996),[]
"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",['Drama']
"Preacher's Wife, The (1996)",['Drama']
Zero Kelvin (Kjærlighetens kjøtere) (1995),['Drama']
Ridicule (1996),['Drama']
"Crucible, The (1996)",[]
101 Dalmatians (1996),['Drama']
"Forbidden Christ, The (Cristo proibito, Il) (1950)",['Drama']
I Can't Sleep (J'ai pas sommeil) (1994),['Drama']
Die Hard 2 (1990),['Action']
Star Trek: The Motion Picture (1979),"['Action', 'Adventure', 'Sci-Fi']"
Star Trek VI: The Undiscovered Country (1991),"['Action', 'Sci-Fi']"
Star Trek V: The Final Frontier (1989),"['Action', 'Adventure', 'Sci-Fi']"
Star Trek: The Wrath of Khan (1982),"['Action', 'Adventure', 'Sci-Fi']"
Star Trek III: The Search for Spock (1984),"['Action', 'Adventure', 'Sci-Fi']"
Star Trek IV: The Voyage Home (1986),"['Action', 'Adventure', 'Sci-Fi']"
Batman Returns (1992),['Action']
Young Guns (1988),['Action']
Young Guns II (1990),['Action']
Grease (1978),[]
Grease 2 (1982),[]
Marked for Death (1990),['Drama']
Adrenalin: Fear the Rush (1996),[]
"Substance of Fire, The (1996)",['Drama']
Under Siege (1992),[]
Terror in a Texas Town (1958),[]
Jaws (1975),['Horror']
Jaws 2 (1978),"['Action', 'Horror']"
Jaws 3-D (1983),['Horror']
My Fellow Americans (1996),"['Comedy', 'Drama']"
Mars Attacks! (1996),[]
Citizen Ruth (1996),['Drama']
Jerry Maguire (1996),['Drama']
Raising Arizona (1987),['Comedy']
Tin Men (1987),['Comedy']
Sneakers (1992),[]
Bastard Out of Carolina (1996),[]
In Love and War (1996),['Comedy']
Marvin's Room (1996),['Drama']
Somebody is Waiting (1996),"['Comedy', 'Drama']"
Ghosts of Mississippi (1996),['Drama']
Night Falls on Manhattan (1997),['Drama']
Beavis and Butt-head Do America (1996),"['Comedy', 'Drama']"
"Cérémonie, La (1995)",['Drama']
Scream (1996),['Horror']
"Last of the Mohicans, The (1992)",['Drama']
Michael (1996),[]
"Evening Star, The (1996)",[]
Hamlet (1996),['Drama']
Some Mother's Son (1996),['Drama']
"Whole Wide World, The (1996)",['Drama']
Mother (1996),['Drama']
"Thieves (Voleurs, Les) (1996)",['Drama']
Evita (1996),['Drama']
"Portrait of a Lady, The (1996)",[]
Walkabout (1971),[]
Message to Love: The Isle of Wight Festival (1996),['Drama']
Grateful Dead (1995),[]
Murder at 1600 (1997),['Drama']
Hearts and Minds (1996),['Drama']
Inside (1996),['Drama']
Fierce Creatures (1997),[]
Zeus and Roxanne (1997),[]
Turbulence (1997),[]
Angel Baby (1995),[]
Jackie Chan's First Strike (1996),['Drama']
Underworld (1997),[]
Beverly Hills Ninja (1997),['Comedy']
Metro (1997),[]
"Machine, The (1994)",[]
"Stranger, The (1994)",[]
Falling in Love Again (1980),['Comedy']
"Cement Garden, The (1993)",['Drama']
Dante's Peak (1997),[]
Meet Wally Sparks (1997),['Comedy']
Amos & Andrew (1993),['Drama']
Benny & Joon (1993),['Drama']
Prefontaine (1997),[]
"Tickle in the Heart, A (1996)",['Drama']
Guantanamera (1994),[]
McHale's Navy (1997),[]
Kolya (1996),['Drama']
Gridlock'd (1997),[]
Fire on the Mountain (1996),['Drama']
Waiting for Guffman (1996),['Comedy']
Prisoner of the Mountains (Kavkazsky Plennik) (1996),['Drama']
"Beautician and the Beast, The (1997)",['Comedy']
SubUrbia (1997),[]
Hotel de Love (1996),['Drama']
"Pest, The (1997)",[]
Fools Rush In (1997),['Comedy']
Touch (1997),['Drama']
Absolute Power (1997),['Action']
That Darn Cat! (1997),['Comedy']
Vegas Vacation (1997),['Comedy']
Unforgotten: Twenty-Five Years After Willowbrook (1996),['Drama']
That Old Feeling (1997),['Comedy']
Lost Highway (1997),[]
Rosewood (1997),[]
Donnie Brasco (1997),[]
Salut cousin! (1996),['Comedy']
Booty Call (1997),['Drama']
Rhyme & Reason (1997),[]
Boys Life 2 (1997),['Drama']
City of Industry (1997),['Drama']
Best Men (1997),['Drama']
Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997),['Comedy']
Kama Sutra: A Tale of Love (1996),[]
Private Parts (1997),['Drama']
Love Jones (1997),[]
"Saint, The (1997)",[]
Smilla's Sense of Snow (1997),['Drama']
"Van, The (1996)",[]
Crash (1996),['Drama']
"Daytrippers, The (1996)",[]
Liar Liar (1997),[]
"Quiet Room, The (1996)",['Drama']
Selena (1997),[]
"Devil's Own, The (1997)",['Drama']
Cats Don't Dance (1997),['Drama']
B*A*P*S (1997),[]
Love and Other Catastrophes (1996),"['Drama', 'Romance']"
"Sixth Man, The (1997)",[]
Turbo: A Power Rangers Movie (1997),[]
Anna Karenina (1997),['Drama']
Double Team (1997),[]
Inventing the Abbotts (1997),[]
Anaconda (1997),[]
Grosse Pointe Blank (1997),[]
Keys to Tulsa (1997),['Drama']
Kissed (1996),['Drama']
8 Heads in a Duffel Bag (1997),['Comedy']
Hollow Reed (1996),[]
Paradise Road (1997),['Drama']
Traveller (1997),[]
All Over Me (1997),['Drama']
"Brother's Kiss, A (1997)",['Drama']
A Chef in Love (1996),"['Comedy', 'Romance']"
Romy and Michele's High School Reunion (1997),['Comedy']
Temptress Moon (Feng Yue) (1996),['Drama']
Volcano (1997),[]
Children of the Revolution (1996),[]
Austin Powers: International Man of Mystery (1997),['Comedy']
Breakdown (1997),[]
Broken English (1996),['Drama']
Commandments (1997),[]
Ripe (1996),['Drama']
"Truth or Consequences, N.M. (1997)",[]
"Turning, The (1992)",[]
Warriors of Virtue (1997),[]
Fathers' Day (1997),[]
"Fifth Element, The (1997)",[]
Intimate Relations (1996),['Drama']
Nowhere (1997),[]
Losing Chase (1996),['Drama']
Sprung (1997),[]
"Promise, The (La Promesse) (1996)",['Drama']
"Bonheur, Le (1965)",['Drama']
Love! Valour! Compassion! (1997),"['Comedy', 'Romance']"
Shall We Dance? (Shall We Dansu?) (1996),['Comedy']
"Second Jungle Book: Mowgli & Baloo, The (1997)",[]
Twin Town (1997),['Comedy']
