title,recommended_genres,true_genres
"Shaggy Dog, The (1959)","[""Children's"", 'Comedy']","[""Children's"", 'Comedy']"
Swiss Family Robinson (1960),"[""Children's"", 'Comedy']","['Adventure', ""Children's""]"
That Darn Cat! (1965),['Comedy'],"[""Children's"", 'Comedy', 'Mystery']"
"20,000 Leagues Under the Sea (1954)","['Adventure', ""Children's"", 'Sci-Fi']","['Adventure', ""Children's"", 'Fantasy', 'Sci-Fi']"
Cool Runnings (1993),"['Comedy', 'Drama']",['Comedy']
Angels in the Outfield (1994),"[""Children's"", 'Comedy']","[""Children's"", 'Comedy']"
Cinderella (1950),[],"['Animation', ""Children's"", 'Musical']"
Winnie the Pooh and the Blustery Day (1968),[],"['Animation', ""Children's""]"
"Three Caballeros, The (1945)",[],"['Animation', ""Children's"", 'Musical']"
"Sword in the Stone, The (1963)","[""Children's"", 'Comedy']","['Animation', ""Children's""]"
So Dear to My Heart (1949),['Drama'],"[""Children's"", 'Drama']"
Robin Hood: Prince of Thieves (1991),[],['Drama']
Mary Poppins (1964),['Drama'],"[""Children's"", 'Comedy', 'Musical']"
Dumbo (1941),"['Animation', ""Children's"", 'Musical']","['Animation', ""Children's"", 'Musical']"
Pete's Dragon (1977),"[""Children's""]","['Adventure', 'Animation', ""Children's"", 'Musical']"
Bedknobs and Broomsticks (1971),[],"['Adventure', ""Children's"", 'Musical']"
Alice in Wonderland (1951),"['Animation', ""Children's"", 'Musical']","['Animation', ""Children's"", 'Musical']"
"Fox and the Hound, The (1981)",[],"['Animation', ""Children's""]"
Freeway (1996),[],['Crime']
"Sound of Music, The (1965)",['Musical'],['Musical']
Die Hard (1988),"['Action', 'Thriller']","['Action', 'Thriller']"
"Lawnmower Man, The (1992)",[],"['Action', 'Sci-Fi', 'Thriller']"
Unhook the Stars (1996),['Drama'],['Drama']
Synthetic Pleasures (1995),['Drama'],['Documentary']
"Secret Agent, The (1996)","[""Children's""]",['Drama']
Secrets & Lies (1996),['Drama'],['Drama']
That Thing You Do! (1996),"['Comedy', 'Romance']",['Comedy']
To Gillian on Her 37th Birthday (1996),"['Drama', 'Romance']","['Drama', 'Romance']"
Surviving Picasso (1996),[],['Drama']
Love Is All There Is (1996),['Comedy'],"['Comedy', 'Drama']"
Beautiful Thing (1996),['Drama'],"['Drama', 'Romance']"
"Long Kiss Goodnight, The (1996)","['Comedy', 'Thriller']","['Action', 'Thriller']"
"Ghost and the Darkness, The (1996)",[],"['Action', 'Adventure']"
Looking for Richard (1996),[],"['Documentary', 'Drama']"
Trees Lounge (1996),[],['Drama']
"Proprietor, The (1996)",[],['Drama']
Normal Life (1996),[],"['Crime', 'Drama']"
Get on the Bus (1996),['Drama'],['Drama']
Shadow Conspiracy (1997),['Thriller'],['Thriller']
Jude (1996),[],['Drama']
Everyone Says I Love You (1996),"['Comedy', 'Romance']","['Comedy', 'Musical', 'Romance']"
Bitter Sugar (Azucar Amargo) (1996),[],['Drama']
William Shakespeare's Romeo and Juliet (1996),"['Comedy', 'Romance']","['Drama', 'Romance']"
Swingers (1996),[],"['Comedy', 'Drama']"
Sleepers (1996),[],"['Crime', 'Drama']"
"Sunchaser, The (1996)",[],['Drama']
Johns (1996),[],['Drama']
Aladdin and the King of Thieves (1996),"['Animation', ""Children's"", 'Drama']","['Animation', ""Children's"", 'Comedy']"
"Woman in Question, The (1950)",[],['Mystery']
Shall We Dance? (1937),"['Comedy', 'Musical', 'Romance']","['Comedy', 'Musical', 'Romance']"
"Damsel in Distress, A (1937)",['Musical'],"['Comedy', 'Musical', 'Romance']"
Crossfire (1947),[],"['Crime', 'Film-Noir']"
"Murder, My Sweet (1944)",[],"['Film-Noir', 'Thriller']"
Macao (1952),['Adventure'],['Adventure']
For the Moment (1994),[],"['Romance', 'War']"
Willy Wonka and the Chocolate Factory (1971),"['Adventure', ""Children's"", 'Drama']","['Adventure', ""Children's"", 'Comedy', 'Fantasy']"
"Sexual Life of the Belgians, The (1994)",['Drama'],['Comedy']
"Innocents, The (1961)",['Drama'],['Thriller']
Sleeper (1973),[],"['Comedy', 'Sci-Fi']"
Bananas (1971),"['Comedy', 'War']","['Comedy', 'War']"
"Fish Called Wanda, A (1988)","['Comedy', 'Drama']",['Comedy']
Monty Python's Life of Brian (1979),['Comedy'],['Comedy']
Victor/Victoria (1982),['Drama'],"['Comedy', 'Musical']"
"Candidate, The (1972)",['Thriller'],['Drama']
"Great Race, The (1965)",[],"['Comedy', 'Musical']"
Bonnie and Clyde (1967),[],"['Crime', 'Drama']"
"Old Man and the Sea, The (1958)",[],"['Adventure', 'Drama']"
Dial M for Murder (1954),"['Mystery', 'Thriller']","['Mystery', 'Thriller']"
Madame Butterfly (1995),['Drama'],['Musical']
Dirty Dancing (1987),['Comedy'],"['Musical', 'Romance']"
Reservoir Dogs (1992),[],"['Crime', 'Thriller']"
Platoon (1986),[],"['Drama', 'War']"
Weekend at Bernie's (1989),"['Comedy', 'Drama']",['Comedy']
Basic Instinct (1992),['Thriller'],"['Mystery', 'Thriller']"
"Doors, The (1991)",['Drama'],"['Drama', 'Musical']"
"Crying Game, The (1992)",['Thriller'],"['Drama', 'Romance', 'War']"
Glengarry Glen Ross (1992),[],['Drama']
Sophie's Choice (1982),['Drama'],['Drama']
E.T. the Extra-Terrestrial (1982),['Drama'],"[""Children's"", 'Drama', 'Fantasy', 'Sci-Fi']"
"Search for One-eye Jimmy, The (1996)",['Comedy'],['Comedy']
"Christmas Carol, A (1938)",['Drama'],['Drama']
Days of Thunder (1990),[],"['Action', 'Romance']"
Top Gun (1986),"['Action', 'Comedy', 'Romance']","['Action', 'Romance']"
American Strays (1996),['Drama'],['Action']
Rebel Without a Cause (1955),['Drama'],['Drama']
"Streetcar Named Desire, A (1951)",['Drama'],['Drama']
Children of the Corn IV: The Gathering (1996),['Horror'],['Horror']
"Leopard Son, The (1996)",[],['Documentary']
Loser (1991),[],['Comedy']
Prerokbe Ognja (1995),['Drama'],['Documentary']
Charm's Incidents (1996),[],['Drama']
Bird of Prey (1996),['Action'],['Action']
Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),['Drama'],['Documentary']
Palookaville (1996),[],"['Action', 'Drama']"
"Associate, The (1996)",['Comedy'],['Comedy']
"Funeral, The (1996)",[],['Drama']
Sleepover (1995),['Drama'],"['Comedy', 'Drama']"
"Single Girl, A (La Fille Seule) (1995)",['Drama'],['Drama']
"Eighth Day, The (Le Huitième jour ) (1996)",['Drama'],['Drama']
Tashunga (1995),['Drama'],"['Adventure', 'Western']"
Drunks (1997),[],['Drama']
"People vs. Larry Flynt, The (1996)",['Drama'],['Drama']
Glory Daze (1996),['Drama'],['Drama']
Plutonium Circus (1995),['Comedy'],['Documentary']
"Perfect Candidate, A (1996)",['Thriller'],['Documentary']
On Golden Pond (1981),"['Adventure', 'Drama']",['Drama']
"Return of the Pink Panther, The (1974)",['Comedy'],['Comedy']
Drop Dead Fred (1991),['Comedy'],"['Comedy', 'Fantasy']"
"Abyss, The (1989)",['Drama'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
"Fog, The (1980)",['Drama'],['Horror']
Escape from New York (1981),"['Action', 'Sci-Fi']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
"Howling, The (1980)",['Drama'],['Horror']
Jean de Florette (1986),['Documentary'],['Drama']
Manon of the Spring (Manon des sources) (1986),['Drama'],['Drama']
Talking About Sex (1994),"['Comedy', 'Drama']","['Comedy', 'Drama']"
Johnny 100 Pesos (1993),['Drama'],"['Action', 'Drama']"
Private Benjamin (1980),['Comedy'],['Comedy']
Monty Python and the Holy Grail (1974),['Comedy'],['Comedy']
Hustler White (1996),['Romance'],['Romance']
Dadetown (1995),['Drama'],['Documentary']
Everything Relative (1996),['Drama'],['Drama']
Entertaining Angels: The Dorothy Day Story (1996),['Comedy'],['Drama']
Hoogste tijd (1995),['Drama'],['Drama']
Get Over It (1996),['Drama'],['Drama']
Three Lives and Only One Death (1996),['Comedy'],['Comedy']
"Line King: Al Hirschfeld, The (1996)",[],['Documentary']
Snowriders (1996),[],['Documentary']
Curtis's Charm (1995),['Drama'],"['Comedy', 'Drama']"
When We Were Kings (1996),"['Documentary', 'Drama']",['Documentary']
"Wrong Trousers, The (1993)",['Comedy'],"['Animation', 'Comedy']"
JLG/JLG - autoportrait de décembre (1994),['Drama'],"['Documentary', 'Drama']"
"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",['Drama'],['Drama']
Faust (1994),[],"['Animation', 'Comedy', 'Thriller']"
He Walked by Night (1948),"['Crime', 'Thriller']","['Crime', 'Film-Noir', 'Thriller']"
Raw Deal (1948),[],['Film-Noir']
T-Men (1947),['Drama'],['Film-Noir']
"Invitation, The (Zaproszenie) (1986)",[],['Drama']
"Children Are Watching us, The (Bambini ci guardano, I) (1942)","['Comedy', 'Drama']",['Drama']
"Symphonie pastorale, La (1946)",['Drama'],['Drama']
Here Comes Cookie (1935),[],['Comedy']
Love in Bloom (1935),"['Comedy', 'Romance']",['Romance']
Six of a Kind (1934),['Comedy'],['Comedy']
"Tin Drum, The (Blechtrommel, Die) (1979)",['Drama'],['Drama']
"Ruling Class, The (1972)",['Comedy'],['Comedy']
Mina Tannenbaum (1994),[],['Drama']
Two or Three Things I Know About Her (1966),['Drama'],['Drama']
"Bloody Child, The (1996)",['Comedy'],"['Drama', 'Thriller']"
Farmer & Chase (1995),['Comedy'],['Comedy']
Dear God (1996),['Comedy'],['Comedy']
Bad Moon (1996),[],['Horror']
American Dream (1990),['Drama'],['Documentary']
Best of the Best 3: No Turning Back (1995),['Comedy'],['Action']
Bob Roberts (1992),[],['Comedy']
Cinema Paradiso (1988),[],"['Comedy', 'Drama', 'Romance']"
"Cook the Thief His Wife & Her Lover, The (1989)",['Drama'],['Drama']
Grosse Fatigue (1994),[],['Comedy']
Delicatessen (1991),[],"['Comedy', 'Sci-Fi']"
"Double Life of Veronique, The (La Double Vie de Véronique) (1991)",['Drama'],['Drama']
Enchanted April (1991),[],['Drama']
Paths of Glory (1957),['Drama'],"['Drama', 'War']"
"Grifters, The (1990)",[],"['Crime', 'Drama', 'Film-Noir']"
Hear My Song (1991),['Comedy'],['Comedy']
"Shooter, The (1995)",['Drama'],['Action']
"English Patient, The (1996)","['Drama', 'Romance', 'War']","['Drama', 'Romance', 'War']"
Mediterraneo (1991),[],"['Comedy', 'War']"
My Left Foot (1989),['Comedy'],['Drama']
"Sex, Lies, and Videotape (1989)","['Comedy', 'Drama']",['Drama']
Passion Fish (1992),['Drama'],['Drama']
Strictly Ballroom (1992),[],"['Comedy', 'Romance']"
"Thin Blue Line, The (1988)",['Documentary'],['Documentary']
Tie Me Up! Tie Me Down! (1990),['Drama'],['Drama']
Madonna: Truth or Dare (1991),[],['Documentary']
Paris Is Burning (1990),['Comedy'],['Documentary']
One Flew Over the Cuckoo's Nest (1975),['Drama'],['Drama']
Up in Smoke (1978),['Comedy'],['Comedy']
Star Wars: Episode V - The Empire Strikes Back (1980),"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'War']","['Action', 'Adventure', 'Drama', 'Sci-Fi', 'War']"
"Princess Bride, The (1987)",[],"['Action', 'Adventure', 'Comedy', 'Romance']"
Raiders of the Lost Ark (1981),"['Action', 'Adventure']","['Action', 'Adventure']"
Brazil (1985),[],['Sci-Fi']
Aliens (1986),[],"['Action', 'Sci-Fi', 'Thriller', 'War']"
"Good, The Bad and The Ugly, The (1966)",[],"['Action', 'Western']"
Withnail and I (1987),['Comedy'],['Comedy']
12 Angry Men (1957),['Drama'],['Drama']
Lawrence of Arabia (1962),['Drama'],"['Adventure', 'War']"
"Transformers: The Movie, The (1986)","[""Children's""]","['Action', 'Animation', ""Children's"", 'Sci-Fi', 'Thriller', 'War']"
"Clockwork Orange, A (1971)",[],['Sci-Fi']
To Kill a Mockingbird (1962),"['Action', 'Drama']",['Drama']
Apocalypse Now (1979),['Drama'],"['Drama', 'War']"
Once Upon a Time in the West (1969),['Western'],['Western']
Star Wars: Episode VI - Return of the Jedi (1983),"['Action', 'Adventure', 'Sci-Fi', 'War']","['Action', 'Adventure', 'Romance', 'Sci-Fi', 'War']"
Wings of Desire (Der Himmel über Berlin) (1987),['Drama'],"['Comedy', 'Drama', 'Romance']"
"Third Man, The (1949)","['Drama', 'Thriller']","['Mystery', 'Thriller']"
GoodFellas (1990),[],"['Crime', 'Drama']"
Alien (1979),"['Action', 'Horror', 'Sci-Fi']","['Action', 'Horror', 'Sci-Fi', 'Thriller']"
Army of Darkness (1993),"['Comedy', 'War']","['Action', 'Adventure', 'Comedy', 'Horror', 'Sci-Fi']"
"Big Blue, The (Le Grand Bleu) (1988)",['Drama'],"['Adventure', 'Romance']"
Ran (1985),[],"['Drama', 'War']"
"Killer, The (Die xue shuang xiong) (1989)","['Action', 'Thriller']","['Action', 'Thriller']"
Psycho (1960),"['Comedy', 'Horror', 'Thriller']","['Horror', 'Thriller']"
"Blues Brothers, The (1980)","['Comedy', 'Musical']","['Action', 'Comedy', 'Musical']"
"Godfather: Part II, The (1974)","['Action', 'Crime', 'Drama']","['Action', 'Crime', 'Drama']"
Full Metal Jacket (1987),"['Action', 'Drama', 'War']","['Action', 'Drama', 'War']"
"Grand Day Out, A (1992)",['Comedy'],"['Animation', 'Comedy']"
Henry V (1989),"['Drama', 'War']","['Drama', 'War']"
Amadeus (1984),['Sci-Fi'],['Drama']
"Quiet Man, The (1952)",['Comedy'],"['Comedy', 'Romance']"
Once Upon a Time in America (1984),"['Crime', 'Drama']","['Crime', 'Drama', 'Thriller']"
Raging Bull (1980),['Drama'],['Drama']
Annie Hall (1977),['Comedy'],"['Comedy', 'Romance']"
"Right Stuff, The (1983)",['Drama'],['Drama']
Stalker (1979),['Sci-Fi'],"['Mystery', 'Sci-Fi']"
"Boat, The (Das Boot) (1981)",[],"['Action', 'Drama', 'War']"
"Sting, The (1973)",[],"['Comedy', 'Crime']"
Harold and Maude (1971),[],['Comedy']
Trust (1990),[],"['Comedy', 'Drama']"
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",['Drama'],['Drama']
Local Hero (1983),"['Comedy', 'Drama']",['Comedy']
"Terminator, The (1984)",['Sci-Fi'],"['Action', 'Sci-Fi', 'Thriller']"
Braindead (1992),[],"['Comedy', 'Horror']"
Glory (1989),['Drama'],"['Action', 'Drama', 'War']"
Rosencrantz and Guildenstern Are Dead (1990),"['Comedy', 'Drama']","['Comedy', 'Drama']"
Manhattan (1979),"['Comedy', 'Drama']","['Comedy', 'Drama', 'Romance']"
Miller's Crossing (1990),[],['Drama']
Dead Poets Society (1989),['Drama'],['Drama']
"Graduate, The (1967)",['Drama'],"['Drama', 'Romance']"
Touch of Evil (1958),"['Crime', 'Thriller']","['Crime', 'Film-Noir', 'Thriller']"
Nikita (La Femme Nikita) (1990),"['Drama', 'Romance']",['Thriller']
"Bridge on the River Kwai, The (1957)","['Drama', 'War']","['Drama', 'War']"
8 1/2 (1963),['Thriller'],['Drama']
Chinatown (1974),[],"['Film-Noir', 'Mystery', 'Thriller']"
"Day the Earth Stood Still, The (1951)","['Drama', 'Sci-Fi']","['Drama', 'Sci-Fi']"
"Treasure of the Sierra Madre, The (1948)",[],['Adventure']
Bad Taste (1987),['Horror'],"['Comedy', 'Horror']"
Duck Soup (1933),"['Comedy', 'War']","['Comedy', 'War']"
Better Off Dead... (1985),['Comedy'],['Comedy']
"Shining, The (1980)",['Drama'],['Horror']
Stand by Me (1986),['Drama'],"['Adventure', 'Comedy', 'Drama']"
M (1931),[],"['Crime', 'Film-Noir', 'Thriller']"
Evil Dead II (Dead By Dawn) (1987),"['Action', 'Comedy', 'Crime', 'Horror', 'Thriller']","['Action', 'Adventure', 'Comedy', 'Horror']"
"Great Escape, The (1963)",['Sci-Fi'],"['Adventure', 'War']"
"Deer Hunter, The (1978)",['Drama'],"['Drama', 'War']"
Diva (1981),['Drama'],"['Action', 'Drama', 'Mystery', 'Romance', 'Thriller']"
Groundhog Day (1993),['Comedy'],"['Comedy', 'Romance']"
Unforgiven (1992),[],['Western']
"Manchurian Candidate, The (1962)","['Film-Noir', 'Thriller']","['Film-Noir', 'Thriller']"
Pump Up the Volume (1990),[],['Drama']
Arsenic and Old Lace (1944),[],"['Comedy', 'Mystery', 'Thriller']"
Back to the Future (1985),"['Comedy', 'Sci-Fi']","['Comedy', 'Sci-Fi']"
Fried Green Tomatoes (1991),['Drama'],['Drama']
Patton (1970),['Comedy'],"['Drama', 'War']"
Down by Law (1986),"['Comedy', 'Drama']","['Comedy', 'Drama']"
Akira (1988),[],"['Adventure', 'Animation', 'Sci-Fi', 'Thriller']"
Highlander (1986),"['Action', 'Adventure', 'Sci-Fi']","['Action', 'Adventure']"
Cool Hand Luke (1967),"['Comedy', 'Drama']","['Comedy', 'Drama']"
Cyrano de Bergerac (1990),['Drama'],"['Action', 'Drama', 'Romance']"
Young Frankenstein (1974),['Horror'],"['Comedy', 'Horror']"
Night on Earth (1991),['Drama'],"['Comedy', 'Drama']"
Raise the Red Lantern (1991),"['Action', 'Drama']",['Drama']
"Great Dictator, The (1940)",[],['Comedy']
Fantasia (1940),"[""Children's"", 'Musical']","['Animation', ""Children's"", 'Musical']"
High Noon (1952),['Western'],['Western']
"Big Sleep, The (1946)",['Drama'],"['Film-Noir', 'Mystery']"
Heathers (1989),['Drama'],['Comedy']
Somewhere in Time (1980),[],"['Drama', 'Romance']"
Ben-Hur (1959),['Horror'],"['Action', 'Adventure', 'Drama']"
This Is Spinal Tap (1984),['Drama'],"['Comedy', 'Drama', 'Musical']"
Koyaanisqatsi (1983),[],"['Documentary', 'War']"
Some Kind of Wonderful (1987),"['Drama', 'Romance']","['Drama', 'Romance']"
Indiana Jones and the Last Crusade (1989),"['Action', 'Adventure']","['Action', 'Adventure']"
Being There (1979),['Comedy'],['Comedy']
Gandhi (1982),['Drama'],['Drama']
M*A*S*H (1970),['Comedy'],"['Comedy', 'War']"
"Unbearable Lightness of Being, The (1988)",['Comedy'],['Drama']
"Room with a View, A (1986)","['Drama', 'Romance']","['Drama', 'Romance']"
Real Genius (1985),['Comedy'],['Comedy']
Pink Floyd - The Wall (1982),"['Comedy', 'Drama']","['Drama', 'Musical', 'War']"
"Killing Fields, The (1984)",['Drama'],"['Drama', 'War']"
My Life as a Dog (Mitt liv som hund) (1985),"['Comedy', 'Drama']",['Drama']
Forbidden Planet (1956),['Sci-Fi'],['Sci-Fi']
Field of Dreams (1989),['Drama'],['Drama']
"Man Who Would Be King, The (1975)",['Comedy'],['Adventure']
Butch Cassidy and the Sundance Kid (1969),['Comedy'],"['Action', 'Comedy', 'Western']"
"Paris, Texas (1984)",['Drama'],['Drama']
Until the End of the World (Bis ans Ende der Welt) (1991),['Drama'],"['Drama', 'Sci-Fi']"
When Harry Met Sally... (1989),[],"['Comedy', 'Romance']"
I Shot a Man in Vegas (1995),['Comedy'],['Comedy']
Parallel Sons (1995),['Drama'],"['Drama', 'Romance']"
Hype! (1996),['Documentary'],['Documentary']
Santa with Muscles (1996),"['Comedy', 'Drama']",['Comedy']
Female Perversions (1996),['Drama'],['Drama']
Mad Dog Time (1996),['Action'],['Crime']
Breathing Room (1996),['Drama'],['Romance']
Paris Was a Woman (1995),"['Documentary', 'Drama']",['Documentary']
Anna (1996),['Drama'],['Drama']
I'm Not Rappaport (1996),"['Action', 'Drama', 'Thriller']",['Comedy']
Blue Juice (1995),['Drama'],"['Comedy', 'Drama']"
Kids of Survival (1993),"['Adventure', ""Children's""]",['Documentary']
Alien³ (1992),[],"['Action', 'Horror', 'Sci-Fi', 'Thriller']"
"American Werewolf in London, An (1981)",['Horror'],['Horror']
Amityville 1992: It's About Time (1992),['Horror'],['Horror']
Amityville 3-D (1983),['Horror'],['Horror']
Amityville: Dollhouse (1996),['Horror'],['Horror']
Amityville: A New Generation (1993),['Horror'],['Horror']
Amityville II: The Possession (1982),['Horror'],['Horror']
"Amityville Horror, The (1979)",['Horror'],['Horror']
"Amityville Curse, The (1990)",['Horror'],['Horror']
Blood For Dracula (Andy Warhol's Dracula) (1974),['Horror'],['Horror']
April Fool's Day (1986),['Comedy'],"['Comedy', 'Horror']"
Audrey Rose (1977),['Horror'],['Horror']
"Believers, The (1987)",['Comedy'],"['Horror', 'Thriller']"
"Birds, The (1963)","['Horror', 'Thriller']",['Horror']
"Blob, The (1958)",[],"['Horror', 'Sci-Fi']"
Blood Beach (1981),['Horror'],"['Action', 'Horror']"
Body Parts (1991),['Horror'],['Horror']
"Body Snatcher, The (1945)",['Horror'],['Horror']
Bram Stoker's Dracula (1992),['Horror'],"['Horror', 'Romance']"
Bride of Frankenstein (1935),['Horror'],['Horror']
Burnt Offerings (1976),['Horror'],['Horror']
Candyman (1992),['Horror'],['Horror']
Cape Fear (1991),['Thriller'],['Thriller']
Cape Fear (1962),['Thriller'],"['Film-Noir', 'Thriller']"
Carrie (1976),['Horror'],['Horror']
Cat People (1982),['Comedy'],['Horror']
"Nightmare on Elm Street, A (1984)",['Horror'],['Horror']
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",['Horror'],['Horror']
Nosferatu a Venezia (1986),['Horror'],['Horror']
"Omen, The (1976)",['Horror'],['Horror']
Blood & Wine (1997),"['Drama', 'Horror']",['Drama']
Albino Alligator (1996),[],"['Crime', 'Thriller']"
"Mirror Has Two Faces, The (1996)",['Drama'],"['Comedy', 'Romance']"
Breaking the Waves (1996),[],['Drama']
Nightwatch (1997),[],"['Horror', 'Thriller']"
Star Trek: First Contact (1996),"['Action', 'Adventure', 'Sci-Fi']","['Action', 'Adventure', 'Sci-Fi']"
Shine (1996),[],"['Drama', 'Romance']"
Sling Blade (1996),"['Drama', 'Thriller']","['Drama', 'Thriller']"
Jingle All the Way (1996),"[""Children's""]","['Adventure', ""Children's"", 'Comedy']"
Identification of a Woman (Identificazione di una donna) (1982),['Drama'],['Drama']
Paradise Lost: The Child Murders at Robin Hood Hills (1996),['Documentary'],['Documentary']
"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",['Drama'],['Drama']
"Preacher's Wife, The (1996)",['Comedy'],['Drama']
Zero Kelvin (Kjærlighetens kjøtere) (1995),['Drama'],['Action']
Ridicule (1996),[],['Drama']
"Crucible, The (1996)",[],['Drama']
101 Dalmatians (1996),[],"[""Children's"", 'Comedy']"
"Forbidden Christ, The (Cristo proibito, Il) (1950)",['Drama'],['Drama']
I Can't Sleep (J'ai pas sommeil) (1994),"['Drama', 'Thriller']","['Drama', 'Thriller']"
Die Hard 2 (1990),"['Action', 'Thriller']","['Action', 'Thriller']"
Star Trek: The Motion Picture (1979),"['Action', 'Adventure', 'Sci-Fi']","['Action', 'Adventure', 'Sci-Fi']"
Star Trek VI: The Undiscovered Country (1991),"['Action', 'Adventure', 'Sci-Fi']","['Action', 'Adventure', 'Sci-Fi']"
Star Trek V: The Final Frontier (1989),"['Action', 'Adventure', 'Sci-Fi']","['Action', 'Adventure', 'Sci-Fi']"
Star Trek: The Wrath of Khan (1982),"['Action', 'Adventure', 'Sci-Fi']","['Action', 'Adventure', 'Sci-Fi']"
Star Trek III: The Search for Spock (1984),"['Action', 'Adventure', 'Sci-Fi']","['Action', 'Adventure', 'Sci-Fi']"
Star Trek IV: The Voyage Home (1986),"['Action', 'Adventure', 'Sci-Fi']","['Action', 'Adventure', 'Sci-Fi']"
Batman Returns (1992),"['Action', 'Adventure', 'Comedy', 'Crime']","['Action', 'Adventure', 'Comedy', 'Crime']"
Young Guns (1988),"['Action', 'Comedy']","['Action', 'Comedy', 'Western']"
Young Guns II (1990),"['Action', 'Comedy']","['Action', 'Comedy', 'Western']"
Grease (1978),[],"['Comedy', 'Musical', 'Romance']"
Grease 2 (1982),['Drama'],"['Comedy', 'Musical', 'Romance']"
Marked for Death (1990),[],"['Action', 'Drama']"
Adrenalin: Fear the Rush (1996),['Thriller'],"['Action', 'Sci-Fi']"
"Substance of Fire, The (1996)",['Drama'],['Drama']
Under Siege (1992),['Action'],['Action']
Terror in a Texas Town (1958),['Western'],['Western']
Jaws (1975),"['Action', 'Horror']","['Action', 'Horror']"
Jaws 2 (1978),"['Action', 'Horror']","['Action', 'Horror']"
Jaws 3-D (1983),"['Action', 'Horror']","['Action', 'Horror']"
My Fellow Americans (1996),['Comedy'],['Comedy']
Mars Attacks! (1996),"['Sci-Fi', 'Thriller']","['Action', 'Comedy', 'Sci-Fi', 'War']"
Citizen Ruth (1996),"['Comedy', 'Drama']","['Comedy', 'Drama']"
Jerry Maguire (1996),['Drama'],"['Drama', 'Romance']"
Raising Arizona (1987),['Comedy'],['Comedy']
Tin Men (1987),['Comedy'],"['Comedy', 'Drama']"
Sneakers (1992),[],"['Crime', 'Drama', 'Sci-Fi']"
Bastard Out of Carolina (1996),[],['Drama']
In Love and War (1996),"['Comedy', 'Romance']","['Romance', 'War']"
Marvin's Room (1996),['Drama'],['Drama']
Somebody is Waiting (1996),"['Comedy', 'Drama']",['Drama']
Ghosts of Mississippi (1996),['Drama'],['Drama']
Night Falls on Manhattan (1997),"['Crime', 'Drama']","['Crime', 'Drama']"
Beavis and Butt-head Do America (1996),['Comedy'],"['Animation', 'Comedy']"
"Cérémonie, La (1995)",['Drama'],['Drama']
Scream (1996),"['Horror', 'Thriller']","['Horror', 'Thriller']"
"Last of the Mohicans, The (1992)",['Drama'],"['Action', 'Romance', 'War']"
Michael (1996),['Comedy'],"['Comedy', 'Romance']"
"Evening Star, The (1996)",['Drama'],"['Comedy', 'Drama']"
Hamlet (1996),['Drama'],['Drama']
Some Mother's Son (1996),['Drama'],['Drama']
"Whole Wide World, The (1996)",['Drama'],['Drama']
Mother (1996),['Drama'],['Comedy']
"Thieves (Voleurs, Les) (1996)","['Drama', 'Romance']","['Crime', 'Drama', 'Romance']"
Evita (1996),[],"['Drama', 'Musical']"
"Portrait of a Lady, The (1996)",['Drama'],['Drama']
Walkabout (1971),[],['Drama']
Message to Love: The Isle of Wight Festival (1996),['Drama'],['Documentary']
Grateful Dead (1995),[],['Documentary']
Murder at 1600 (1997),"['Drama', 'Mystery']","['Mystery', 'Thriller']"
Hearts and Minds (1996),"['Drama', 'Romance']",['Drama']
Inside (1996),[],['Action']
Fierce Creatures (1997),[],['Comedy']
Zeus and Roxanne (1997),[],"[""Children's""]"
Turbulence (1997),[],['Thriller']
Angel Baby (1995),['Thriller'],['Drama']
Jackie Chan's First Strike (1996),"['Action', 'Drama']",['Action']
Underworld (1997),[],['Thriller']
Beverly Hills Ninja (1997),"['Action', 'Comedy']","['Action', 'Comedy']"
Metro (1997),[],['Action']
"Machine, The (1994)",[],"['Comedy', 'Horror']"
"Stranger, The (1994)","['Action', 'Thriller']",['Action']
Falling in Love Again (1980),['Comedy'],['Comedy']
"Cement Garden, The (1993)",['Drama'],['Drama']
Dante's Peak (1997),[],"['Action', 'Thriller']"
Meet Wally Sparks (1997),['Comedy'],['Comedy']
Amos & Andrew (1993),['Drama'],['Comedy']
Benny & Joon (1993),"['Comedy', 'Drama']","['Comedy', 'Romance']"
Prefontaine (1997),[],['Drama']
"Tickle in the Heart, A (1996)",['Drama'],['Documentary']
Guantanamera (1994),[],['Comedy']
McHale's Navy (1997),[],"['Comedy', 'War']"
Kolya (1996),[],['Comedy']
Gridlock'd (1997),[],['Crime']
Fire on the Mountain (1996),[],['Documentary']
Waiting for Guffman (1996),['Comedy'],['Comedy']
Prisoner of the Mountains (Kavkazsky Plennik) (1996),['Drama'],['War']
"Beautician and the Beast, The (1997)","['Comedy', 'Romance']","['Comedy', 'Romance']"
SubUrbia (1997),[],['Comedy']
Hotel de Love (1996),['Drama'],"['Comedy', 'Romance']"
"Pest, The (1997)",[],['Comedy']
